# time_unit: years
# unit: mm
# scale: 1
# column_names: ymd hms up
# columns_index: 0 1 2
# index_cols: ymd hms
# index_formats: %Y%m%d %H%M%S
20100701 000000	   -5.0521
20100702 000000	   -5.0552
20100703 000000	   -5.0582
20100704 000000	   -5.0613
20100705 000000	   -5.0643
20100706 000000	   -5.0674
20100707 000000	   -5.0705
20100708 000000	   -5.0735
20100709 000000	   -5.0766
20100710 000000	   -5.0797
20100711 000000	   -5.0827
20100712 000000	   -5.0858
20100713 000000	   -5.0889
20100714 000000	   -5.0919
20100715 000000	   -5.0950
20100716 000000	   -5.0980
20100718 000000	   -5.1042
20100719 000000	   -5.1072
20100720 000000	   -5.1103
20100721 000000	   -5.1134
20100722 000000	   -5.1164
20100723 000000	   -5.1195
20100724 000000	   -5.1226
20100725 000000	   -5.1256
20100726 000000	   -5.1287
20100727 000000	   -5.1317
20100728 000000	   -5.1348
20100729 000000	   -5.1379
20100730 000000	   -5.1409
20100731 000000	   -5.1440
20100801 000000	   -5.1471
20100802 000000	   -5.1501
20100803 000000	   -5.1532
20100804 000000	   -5.1563
20100805 000000	   -5.1593
20100806 000000	   -5.1624
20100807 000000	   -5.1654
20100808 000000	   -5.1685
20100809 000000	   -5.1716
20100811 000000	   -5.1777
20100812 000000	   -5.1808
20100813 000000	   -5.1838
20100814 000000	   -5.1869
20100815 000000	   -5.1899
20100816 000000	   -5.1930
20100817 000000	   -5.1961
20100818 000000	   -5.1991
20100819 000000	   -5.2022
20100820 000000	   -5.2053
20100821 000000	   -5.2083
20100822 000000	   -5.2114
20100824 000000	   -5.2175
20100825 000000	   -5.2206
20100826 000000	   -5.2236
20100827 000000	   -5.2267
20100828 000000	   -5.2298
20100829 000000	   -5.2328
20100830 000000	   -5.2359
20100831 000000	   -5.2390
20100901 000000	   -5.2420
20100902 000000	   -5.2451
20100903 000000	   -5.2482
20100904 000000	   -5.2512
20100905 000000	   -5.2543
20100906 000000	   -5.2573
20100907 000000	   -5.2604
20100908 000000	   -5.2635
20100909 000000	   -5.2665
20100910 000000	   -5.2696
20100911 000000	   -5.2727
20100912 000000	   -5.2757
20100913 000000	   -5.2788
20100914 000000	   -5.2819
20100915 000000	   -5.2849
20100916 000000	   -5.2880
20100917 000000	   -5.2910
20100918 000000	   -5.2941
20100919 000000	   -5.2972
20100920 000000	   -5.3002
20100921 000000	   -5.3033
20100922 000000	   -5.3064
20100923 000000	   -5.3094
20100924 000000	   -5.3125
20100925 000000	   -5.3156
20100926 000000	   -5.3186
20100927 000000	   -5.3217
20100928 000000	   -5.3247
20100929 000000	   -5.3278
20100930 000000	   -5.3309
20101001 000000	   -5.3339
20101002 000000	   -5.3370
20101003 000000	   -5.3401
20101004 000000	   -5.3431
20101005 000000	   -5.3462
20101006 000000	   -5.3492
20101007 000000	   -5.3523
20101008 000000	   -5.3554
20101009 000000	   -5.3584
20101010 000000	   -5.3615
20101011 000000	   -5.3646
20101012 000000	   -5.3676
20101013 000000	   -5.3707
20101014 000000	   -5.3738
20101015 000000	   -5.3768
20101016 000000	   -5.3799
20101017 000000	   -5.3829
20101018 000000	   -5.3860
20101019 000000	   -5.3891
20101020 000000	   -5.3921
20101021 000000	   -5.3952
20101022 000000	   -5.3983
20101023 000000	   -5.4013
20101024 000000	   -5.4044
20101025 000000	   -5.4075
20101027 000000	   -5.4136
20101028 000000	   -5.4166
20101029 000000	   -5.4197
20101030 000000	   -5.4228
20101031 000000	   -5.4258
20101101 000000	   -5.4289
20101102 000000	   -5.4320
20101103 000000	   -5.4350
20101104 000000	   -5.4381
20101105 000000	   -5.4412
20101106 000000	   -5.4442
20101107 000000	   -5.4473
20101108 000000	   -5.4503
20101109 000000	   -5.4534
20101110 000000	   -5.4565
20101111 000000	   -5.4595
20101112 000000	   -5.4626
20101113 000000	   -5.4657
20101114 000000	   -5.4687
20101115 000000	   -5.4718
20101116 000000	   -5.4749
20101117 000000	   -5.4779
20101118 000000	   -5.4810
20101119 000000	   -5.4840
20101120 000000	   -5.4871
20101121 000000	   -5.4902
20101122 000000	   -5.4932
20101123 000000	   -5.4963
20101124 000000	   -5.4994
20101125 000000	   -5.5024
20101126 000000	   -5.5055
20101127 000000	   -5.5085
20101128 000000	   -5.5116
20101129 000000	   -5.5147
20101130 000000	   -5.5177
20101201 000000	   -5.5208
20101202 000000	   -5.5239
20101203 000000	   -5.5269
20101204 000000	   -5.5300
20101205 000000	   -5.5331
20101206 000000	   -5.5361
20101207 000000	   -5.5392
20101208 000000	   -5.5422
20101209 000000	   -5.5453
20101210 000000	   -5.5484
20101211 000000	   -5.5514
20101212 000000	   -5.5545
20101213 000000	   -5.5576
20101214 000000	   -5.5606
20101215 000000	   -5.5637
20101216 000000	   -5.5668
20101217 000000	   -5.5698
20101218 000000	   -5.5729
20101219 000000	   -5.5759
20101220 000000	   -5.5790
20101221 000000	   -5.5821
20101222 000000	   -5.5851
20101223 000000	   -5.5882
20101224 000000	   -5.5913
20101225 000000	   -5.5943
20101226 000000	   -5.5974
20101227 000000	   -5.6005
20101228 000000	   -5.6035
20101229 000000	   -5.6066
20101230 000000	   -5.6096
20101231 000000	   -5.6127
20110101 000000	   -5.6158
20110102 000000	   -5.6188
20110103 000000	   -5.6219
20110104 000000	   -5.6250
20110105 000000	   -5.6280
20110106 000000	   -5.6311
20110107 000000	   -5.6342
20110108 000000	   -5.6372
20110109 000000	   -5.6403
20110110 000000	   -5.6433
20110111 000000	   -5.6464
20110112 000000	   -5.6495
20110113 000000	   -5.6525
20110114 000000	   -5.6556
20110115 000000	   -5.6587
20110116 000000	   -5.6617
