# time_unit: years
# unit: mm
# scale: 1
# column_names: ymd hms years north east up north_sigma east_sigma up_sigma
# columns_index: 0 1 2 3 4 5 6 7 8
# index_cols: ymd hms
# index_formats: %Y%m%d %H%M%S
19991023 120000	 1999.8097	  -39.8700	   30.5200	   -0.8600	    1.8500	    1.8500	    6.0400
19991024 120000	 1999.8125	  -38.9800	   33.2700	    1.6200	    1.9100	    1.9100	    6.5000
19991025 120000	 1999.8152	  -39.4700	   32.6400	    1.3800	    1.9800	    1.9800	    6.6000
19991026 120000	 1999.8179	  -39.9900	   33.8300	    1.0100	    2.0200	    2.0200	    6.9100
19991027 120000	 1999.8207	  -38.6600	   32.6600	   -1.8500	    1.8400	    1.8400	    6.0500
19991028 120000	 1999.8234	  -39.5900	   30.2000	   -1.8400	    2.2000	    2.2000	    7.3500
19991029 120000	 1999.8261	  -40.1700	   30.8100	    3.2200	    2.2400	    2.2400	    7.3500
19991030 120000	 1999.8289	  -39.1400	   31.4200	    3.6700	    1.9900	    1.9900	    6.4600
19991031 120000	 1999.8316	  -39.0100	   31.1900	   -1.5300	    2.0300	    2.0300	    6.6000
19991101 120000	 1999.8344	  -40.3000	   26.9400	    4.7600	    1.9700	    1.9700	    6.4300
19991102 120000	 1999.8371	  -39.8300	   30.5400	    3.9300	    2.0200	    2.0200	    6.6200
19991103 120000	 1999.8398	  -39.7200	   28.3700	    3.0800	    1.9600	    1.9600	    6.4200
19991104 120000	 1999.8426	  -39.7700	   31.7600	    3.0300	    2.0600	    2.0600	    6.7500
19991105 120000	 1999.8453	  -39.6400	   30.7900	    0.9900	    2.0400	    2.0400	    6.6600
19991106 120000	 1999.8480	  -38.7400	   31.8900	    1.0400	    1.9400	    1.9400	    6.3400
19991107 120000	 1999.8508	  -38.8100	   31.2000	    2.7500	    2.2800	    2.2800	    7.3700
19991108 120000	 1999.8535	  -37.5500	   30.6500	    0.6700	    2.4100	    2.4100	    7.8300
