# time_unit: years
# unit: mm
# scale: 1
# column_names: ymd hms east north up east_sigma north_sigma up_sigma
# columns_index: 0 1 3 4 5 6 7 8
# index_cols: ymd hms
# index_formats: %Y%m%d %H%M%S
20100822 120000	 2010.6393	    5.9230	   -1.0080	   -7.3740	    0.8780	    0.8530	    3.4610
20100823 120000	 2010.6420	    6.1070	   -0.3380	  -14.0370	    0.9090	    0.8570	    3.5520
20100824 120000	 2010.6448	    4.8240	   -1.5880	  -13.1390	    0.9420	    0.8890	    3.5590
20100825 120000	 2010.6475	    7.6640	   -1.1870	  -15.5280	    0.8800	    0.8620	    3.4870
20100826 120000	 2010.6502	    7.9980	   -0.1390	   -4.9280	    0.8870	    0.8740	    3.5000
20100827 120000	 2010.6530	    7.1200	    0.4480	  -22.4150	    0.9070	    0.9270	    3.7380
20100828 120000	 2010.6557	    6.7750	   -1.2500	  -18.2120	    0.9180	    0.8570	    3.5350
20100829 120000	 2010.6585	    7.7310	   -2.1000	  -20.7350	    0.8780	    0.8670	    3.4760
20100830 120000	 2010.6612	    4.8720	   -2.6900	   -2.3620	    0.8790	    0.8640	    3.4750
20100831 120000	 2010.6639	   10.0330	    1.1130	   -8.6910	    0.8750	    0.8590	    3.4630
20100901 120000	 2010.6667	    8.0090	   -1.7640	  -11.7470	    0.9110	    0.8690	    3.5190
20100902 120000	 2010.6694	    6.6720	    1.1280	   -9.9580	    0.9130	    0.8570	    3.5040
20100903 120000	 2010.6721	    5.5260	    0.0670	   -7.4930	    0.9070	    0.8590	    3.5080
20100904 120000	 2010.6749	    7.5000	   -0.2950	  -18.3110	    0.8770	    0.8610	    3.4740
20100905 120000	 2010.6776	    7.0500	    0.7060	  -16.5790	    0.8820	    0.8610	    3.4740
20100906 120000	 2010.6804	    5.2460	   -1.0730	  -11.6940	    0.8860	    0.8670	    3.5040
20100907 120000	 2010.6831	    5.5760	   -4.7170	   -7.2420	    0.8820	    0.8590	    3.4660
20100908 120000	 2010.6858	    8.2720	   -0.2050	  -13.7420	    0.9020	    0.8580	    3.4810
20100909 120000	 2010.6886	   10.0880	   -1.4140	  -17.8830	    0.8810	    0.8540	    3.4440
20100910 120000	 2010.6913	    7.8030	   -1.7220	  -16.0630	    0.8780	    0.8540	    3.4710
20100911 120000	 2010.6940	    9.1430	    2.7370	  -16.9270	    0.9060	    0.9110	    3.6780
20100912 120000	 2010.6968	    8.4630	   -1.6510	  -13.1530	    0.8830	    0.8570	    3.4520
20100913 120000	 2010.6995	    9.4570	    4.7770	  -21.6330	    0.8820	    0.8640	    3.4850
20100914 120000	 2010.7023	    9.0310	   -0.4400	  -20.8700	    0.9030	    0.8620	    3.5220
20100915 120000	 2010.7050	   10.1590	    0.4800	  -21.4450	    0.9110	    0.8870	    3.6180
20100916 120000	 2010.7077	    9.2620	   -0.8400	  -23.0300	    0.8770	    0.8610	    3.4590
20100917 120000	 2010.7105	    5.6720	   -1.5310	   -9.7670	    0.9100	    0.8680	    3.5330
20100918 120000	 2010.7132	    9.4670	    2.4260	   -8.9790	    0.9100	    0.8710	    3.5480
20100919 120000	 2010.7159	    8.5680	   -0.4130	  -19.8760	    0.8880	    0.8660	    3.4710
20100920 120000	 2010.7187	    8.4030	   -0.1950	  -29.9540	    0.8990	    0.8680	    3.5610
