# time_unit: years
# unit: mm
# scale: 1
# column_names: ymd hms north east up
# columns_index: 0 1 2 3 4
# index_cols: ymd hms
# index_formats: %Y%m%d %H%M%S
20000617 000000	   -6.3805	   13.3418	    3.8361
20000618 000000	   -7.3591	   13.9860	    0.8328
20000619 000000	   -6.8477	   12.0903	    2.5596
20000620 000000	   -8.9063	   12.6846	    1.9364
20000621 000000	  -10.5649	   14.9088	    3.5931
20000622 000000	   -8.7936	   12.1231	    7.0799
20000623 000000	   -8.6622	    9.5874	    4.3067
20000624 000000	   -9.3708	   12.0216	   15.9535
20000625 000000	   -9.9594	   14.8759	    7.6502
20000626 000000	   -7.8680	   14.0402	    7.9070
20000627 000000	   -6.7566	   11.0744	   11.1638
20000628 000000	   -6.4152	   11.7087	    9.0706
20000629 000000	  -10.6038	    6.1630	   17.7373
20000630 000000	   -7.6424	   10.3972	   18.8041
20000701 000000	   -8.0810	   13.1315	    1.0709
20000702 000000	   -8.3996	   14.7958	   -2.2223
20000703 000000	  -10.8782	   11.7300	   15.6944
20000704 000000	   -6.9768	    9.1043	    5.1112
20000705 000000	   -7.2155	    8.5786	   -0.1520
20000706 000000	  -10.4041	   11.8728	    0.0048
20000707 000000	   -8.1727	   10.1671	    0.3215
20000708 000000	   -5.7213	   10.8614	    3.3683
20000709 000000	   -9.0699	   10.4756	    6.8951
20000710 000000	   -7.9185	    8.4199	    9.9619
20000711 000000	   -8.8771	    9.3642	    0.8486
20000712 000000	   -6.7557	    9.8984	   10.3854
20000713 000000	   -9.2843	   11.5627	    8.1322
20000714 000000	  -10.4329	   12.5570	    2.9389
20000715 000000	   -4.4615	   11.6012	    5.6557
20000716 000000	   -8.7301	   10.6555	    8.5425
20000717 000000	  -11.9987	   27.7298	    5.9493
20000718 000000	   -9.5574	    9.7940	   10.7560
20000719 000000	   -8.3760	   10.6783	    5.8228
20000720 000000	   -5.1446	   11.8626	   -6.0804
20000721 000000	   -6.8532	   11.5968	   14.5264
20000722 000000	   -5.1218	    8.4711	   16.4431
20000723 000000	   -2.9704	   11.7654	   -0.2401
20000724 000000	   -7.2290	    9.3196	    5.5167
20000725 000000	   -5.9476	   11.0539	   -0.4965
20000726 000000	   -3.0162	   10.5282	   -4.4598
20000727 000000	   -7.0148	   10.0324	    5.7970
20000728 000000	   -2.6434	    6.9167	   17.1738
20000729 000000	   -7.9920	    9.0610	    8.8906
20000730 000000	   -5.0606	   11.0452	    1.7173
