# time_unit: years
# unit: mm
# scale: 1
# column_names: ymd hms north east up
# columns_index: 0 1 2 3 4
# index_cols: ymd hms
# index_formats: %Y%m%d %H%M%S
19991221 120000	   26.1004	   79.4189	 -130.9179
19991222 120000	   26.6728	   85.8718	 -124.5354
19991223 120000	   27.4479	   89.4449	 -129.7179
19991224 120000	   27.7057	   92.7655	 -131.3462
19991225 120000	   26.6761	   95.3707	 -127.6410
19991226 120000	   27.8988	   99.2978	 -129.1033
19991227 120000	   27.9038	  103.4040	 -128.9841
19991228 120000	   26.9609	  106.7964	 -130.9743
19991229 120000	   27.7299	  105.0022	 -127.3651
19991230 120000	   28.2209	  109.2285	 -123.7476
19991231 120000	   28.7337	  114.6424	 -123.8330
20000101 120000	   27.1981	  112.6010	 -123.8827
20000102 120000	   30.2941	  118.3815	 -107.2278
20000103 120000	   27.5416	  119.8511	 -119.8297
20000104 120000	   29.1805	  123.5367	 -120.4700
20000105 120000	   33.3908	  130.2155	 -112.7100
20000106 120000	   32.6223	  131.8448	 -113.0013
20000107 120000	   28.5651	  135.1616	 -111.5754
20000108 120000	   28.7091	  139.6031	 -109.9639
20000109 120000	   27.8643	  138.9465	 -110.2885
20000110 120000	   29.0906	  142.2190	 -108.9409
20000111 120000	   28.2480	  143.9579	 -102.3229
20000112 120000	   27.7265	  147.3404	 -100.8061
20000113 120000	   27.9860	  150.0138	 -101.7923
20000114 120000	   29.1467	  155.5755	  -94.4935
20000115 120000	   29.5185	  158.7529	  -92.7315
20000116 120000	   28.8914	  159.4234	  -87.6581
20000117 120000	   29.2054	  162.3543	  -94.3153
20000118 120000	   28.7706	  164.9434	  -93.8151
20000119 120000	   28.8871	  166.8380	  -87.0694
20000120 120000	   28.1649	  168.4659	  -84.4702
20000121 120000	   29.6940	  169.4746	  -83.2295
20000122 120000	   27.7345	  169.1420	  -83.2794
20000123 120000	   28.1565	  176.3858	  -80.4018
20000124 120000	   29.2700	  178.3438	  -80.7389
20000125 120000	   30.6452	  178.4441	  -83.7026
20000126 120000	   26.9222	  180.7845	  -75.5550
20000127 120000	   27.9511	  181.9431	  -70.0883
20000128 120000	   28.2119	  184.2980	  -68.6745
20000129 120000	   27.6349	  184.0676	  -68.9056
20000130 120000	   27.9000	  187.7599	  -72.9337
20000131 120000	   27.8875	  190.8734	  -68.0709
20000201 120000	   23.5276	  189.3166	  -62.0892
20000202 120000	   26.9402	  192.7279	  -66.4708
20000203 120000	   26.9857	  191.1859	  -62.6775
20000204 120000	   27.8742	  191.2794	  -60.3415
20000205 120000	   24.9258	  196.1471	  -53.5647
20000206 120000	   24.1406	  198.7178	  -52.7391
20000207 120000	   24.5890	  198.3806	  -50.2567
20000208 120000	   25.5011	  194.5345	  -49.5295
20000209 120000	   24.2169	  198.6085	  -47.0893
20000210 120000	   26.1069	  197.0420	  -46.5581
20000211 120000	   25.7511	  199.4143	  -47.9077
20000212 120000	   25.4797	  196.7847	  -49.2399
20000213 120000	   24.9430	  201.1328	  -37.1865
